rank,run_name,hidden_dim,activation,lr,lr_decay,weight_decay,epochs,best_val_acc,checkpoint_path
470,hd512_tanh_lr0p01_decay1p0_wd0p001,512,tanh,0.01,1.0,0.001,50,0.8923333333333333,model/weights/hd512_tanh_lr0p01_decay1p0_wd0p001_best.npz
471,hd256_tanh_lr0p01_decay1p0_wd0p0001,256,tanh,0.01,1.0,0.0001,50,0.8921666666666667,model/weights/hd256_tanh_lr0p01_decay1p0_wd0p0001_best.npz
472,hd512_sigmoid_lr0p1_decay0p95_wd0p0,512,sigmoid,0.1,0.95,0.0,50,0.8921666666666667,model/weights/hd512_sigmoid_lr0p1_decay0p95_wd0p0_best.npz
473,hd512_tanh_lr0p05_decay0p9_wd0p001,512,tanh,0.05,0.9,0.001,50,0.8921666666666667,model/weights/hd512_tanh_lr0p05_decay0p9_wd0p001_best.npz
474,hd768_relu_lr0p01_decay0p98_wd0p001,768,relu,0.01,0.98,0.001,50,0.8921666666666667,model/weights/hd768_relu_lr0p01_decay0p98_wd0p001_best.npz
475,hd256_sigmoid_lr0p2_decay0p9_wd0p0001,256,sigmoid,0.2,0.9,0.0001,50,0.892,model/weights/hd256_sigmoid_lr0p2_decay0p9_wd0p0001_best.npz
476,hd512_sigmoid_lr0p2_decay0p9_wd0p0,512,sigmoid,0.2,0.9,0.0,50,0.892,model/weights/hd512_sigmoid_lr0p2_decay0p9_wd0p0_best.npz
477,hd512_sigmoid_lr0p2_decay0p9_wd1e-05,512,sigmoid,0.2,0.9,1e-05,50,0.892,model/weights/hd512_sigmoid_lr0p2_decay0p9_wd1e-05_best.npz
478,hd768_relu_lr0p01_decay0p98_wd0p0,768,relu,0.01,0.98,0.0,50,0.8918333333333334,model/weights/hd768_relu_lr0p01_decay0p98_wd0p0_best.npz
479,hd768_tanh_lr0p05_decay0p9_wd0p0,768,tanh,0.05,0.9,0.0,50,0.8918333333333334,model/weights/hd768_tanh_lr0p05_decay0p9_wd0p0_best.npz
480,hd768_tanh_lr0p05_decay0p9_wd1e-05,768,tanh,0.05,0.9,1e-05,50,0.8918333333333334,model/weights/hd768_tanh_lr0p05_decay0p9_wd1e-05_best.npz
481,hd768_relu_lr0p01_decay0p98_wd1e-05,768,relu,0.01,0.98,1e-05,50,0.8916666666666667,model/weights/hd768_relu_lr0p01_decay0p98_wd1e-05_best.npz
482,hd768_tanh_lr0p05_decay0p9_wd0p0001,768,tanh,0.05,0.9,0.0001,50,0.8916666666666667,model/weights/hd768_tanh_lr0p05_decay0p9_wd0p0001_best.npz
483,hd128_relu_lr0p01_decay1p0_wd0p001,128,relu,0.01,1.0,0.001,50,0.8915,model/weights/hd128_relu_lr0p01_decay1p0_wd0p001_best.npz
484,hd128_sigmoid_lr0p1_decay1p0_wd0p001,128,sigmoid,0.1,1.0,0.001,50,0.8915,model/weights/hd128_sigmoid_lr0p1_decay1p0_wd0p001_best.npz
485,hd128_tanh_lr0p05_decay0p9_wd0p0001,128,tanh,0.05,0.9,0.0001,50,0.8915,model/weights/hd128_tanh_lr0p05_decay0p9_wd0p0001_best.npz
486,hd512_sigmoid_lr0p2_decay0p9_wd0p0001,512,sigmoid,0.2,0.9,0.0001,50,0.8915,model/weights/hd512_sigmoid_lr0p2_decay0p9_wd0p0001_best.npz
487,hd768_relu_lr0p01_decay0p98_wd0p0001,768,relu,0.01,0.98,0.0001,50,0.8915,model/weights/hd768_relu_lr0p01_decay0p98_wd0p0001_best.npz
488,hd128_tanh_lr0p05_decay0p9_wd0p0,128,tanh,0.05,0.9,0.0,50,0.8913333333333333,model/weights/hd128_tanh_lr0p05_decay0p9_wd0p0_best.npz
489,hd128_tanh_lr0p05_decay0p9_wd1e-05,128,tanh,0.05,0.9,1e-05,50,0.8913333333333333,model/weights/hd128_tanh_lr0p05_decay0p9_wd1e-05_best.npz
490,hd256_sigmoid_lr0p2_decay0p95_wd0p001,256,sigmoid,0.2,0.95,0.001,50,0.8913333333333333,model/weights/hd256_sigmoid_lr0p2_decay0p95_wd0p001_best.npz
491,hd768_tanh_lr0p05_decay0p9_wd0p001,768,tanh,0.05,0.9,0.001,50,0.8911666666666667,model/weights/hd768_tanh_lr0p05_decay0p9_wd0p001_best.npz
492,hd512_sigmoid_lr0p1_decay0p95_wd0p0001,512,sigmoid,0.1,0.95,0.0001,50,0.8908333333333334,model/weights/hd512_sigmoid_lr0p1_decay0p95_wd0p0001_best.npz
493,hd256_sigmoid_lr0p1_decay0p95_wd0p0,256,sigmoid,0.1,0.95,0.0,50,0.8906666666666667,model/weights/hd256_sigmoid_lr0p1_decay0p95_wd0p0_best.npz
494,hd256_sigmoid_lr0p1_decay0p95_wd1e-05,256,sigmoid,0.1,0.95,1e-05,50,0.8906666666666667,model/weights/hd256_sigmoid_lr0p1_decay0p95_wd1e-05_best.npz
495,hd512_sigmoid_lr0p2_decay1p0_wd0p001,512,sigmoid,0.2,1.0,0.001,50,0.8906666666666667,model/weights/hd512_sigmoid_lr0p2_decay1p0_wd0p001_best.npz
496,hd128_sigmoid_lr0p2_decay0p9_wd1e-05,128,sigmoid,0.2,0.9,1e-05,50,0.8905,model/weights/hd128_sigmoid_lr0p2_decay0p9_wd1e-05_best.npz
497,hd256_sigmoid_lr0p1_decay1p0_wd0p001,256,sigmoid,0.1,1.0,0.001,50,0.8905,model/weights/hd256_sigmoid_lr0p1_decay1p0_wd0p001_best.npz
498,hd128_sigmoid_lr0p1_decay0p95_wd0p0,128,sigmoid,0.1,0.95,0.0,50,0.8903333333333333,model/weights/hd128_sigmoid_lr0p1_decay0p95_wd0p0_best.npz
